well_id,Station Code,Station Name,State,District,Latitude,Longitude,Well Depth,period,gwl,measurement_month_start,soil_moisture_1m,soil_moisture_3m,soil_moisture_6m,soil_moisture_12m,et_1m,et_3m,et_6m,et_12m,rainfall_1m,rainfall_3m,rainfall_6m,rainfall_12m,grace_tws_1m,grace_tws_3m,grace_tws_6m,grace_tws_12m,welltype_Bore well,welltype_Dug well,welltype_Tube well,aquifer_-,aquifer_Confined,aquifer_Semi-confined,aquifer_Unconfined,gwl_lag1,gwl_lag2,gwl_lag3,gwl_lag4
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Jan-07,7.559999943,2007-01-01,23.959977043999565,31.91520761560511,31.922679759837965,27.288076259471755,1.6429391676124566e-05,2.86954809443732e-05,3.139963828962883e-05,2.333922593270135e-05,0.0,115.63399701278944,292.7154801419148,470.7147754505277,,11.864694531118356,12.177952928276746,1.4458085483989622,False,True,False,True,False,False,False,7.059999943,7.429999828,5.769999981,5.300000191
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-07,8.850000381,2007-05-01,20.28949801127116,17.196984891538268,21.73038998356572,26.510420905219185,9.1750609364546e-06,7.052465628442372e-06,1.3113133987914168e-05,2.2223176630278533e-05,10.345011867009676,10.345011867009676,78.71299924644141,463.1019098781622,-25.332550448461664,-17.587522876480467,-4.895629251400821,0.6649677263882542,False,True,False,True,False,False,False,7.559999943,7.059999943,7.429999828,5.769999981
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Aug-07,6.800000191,2007-08-01,31.416568473533356,30.50320907875344,23.94873597886827,26.98240527400264,3.0134706860365067e-05,2.723279808210295e-05,1.7252768884645775e-05,2.2655118974162854e-05,59.38247877588638,298.184687096339,308.52969896334866,556.4357862931031,,-5.789730111715663,-16.77081002300639,-3.7799443533074415,False,True,False,True,False,False,False,8.850000381,7.559999943,7.059999943,7.429999828
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Nov-07,4.659999847,2007-11-01,37.802834122269246,39.13257175021701,34.85425991482205,28.28911223234954,4.3685231638071984e-05,4.444330382587699e-05,3.5891268284844785e-05,2.4498623908449964e-05,104.65761989813583,385.9160951009163,692.1446179105686,770.8576171570099,,21.9355127402195,9.748050613752998,-2.3475543504553045,False,True,False,True,False,False,False,6.800000191,8.850000381,7.559999943,7.059999943
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Jan-08,4.380000114,2008-01-01,24.36060156645598,32.17148985686126,34.63691301699038,28.171305409184207,1.701385291299731e-05,3.084307496060824e-05,3.5465145090172346e-05,2.4627447163328287e-05,3.858607099606441,128.3628928202849,477.047682512265,726.1949026997273,,16.5604732503652,18.688131958585345,0.0240741052965793,False,True,False,True,False,False,False,4.659999847,6.800000191,8.850000381,7.559999943
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-08,6.699999809,2008-05-01,22.88920282434534,23.676312905770764,24.93619558546278,29.90881361784759,1.4742944249182647e-05,1.5241181986143432e-05,1.765183663303981e-05,2.6796539006884108e-05,0.0,10.532964254514528,34.2382371766636,726.3828550872321,-5.751970729809003,-6.053273902626433,2.6624230832830134,5.883162869860279,False,True,False,True,False,False,False,4.380000114,4.659999847,6.800000191,8.850000381
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Aug-08,2.400000095,2008-08-01,30.140272211145472,25.754648844401043,24.713087576406974,28.66419580247667,2.8967623384906567e-05,2.128649780556939e-05,1.825819385380277e-05,2.520850560998682e-05,80.17169918005284,152.04827132247962,162.58123557699415,572.2026036000597,,-9.140849981152735,-9.876435098512268,2.232869490819492,False,True,False,True,False,False,False,6.699999809,4.380000114,4.659999847,6.800000191
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Nov-08,3.420000076,2008-11-01,36.31124609488028,37.46723570647063,31.602262073092987,28.218915868688512,4.044670627249784e-05,4.2715519494204605e-05,3.199704183821774e-05,2.481996475749097e-05,57.15898482616131,249.28630097783528,401.3345723003149,430.7118694240657,,18.38484860926152,6.907179344611511,0.9074185332483604,False,True,False,True,False,False,False,2.400000095,6.699999809,4.380000114,4.659999847
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Jan-09,4.940000057,2009-01-01,26.380548335887767,31.603314293755425,33.498980910689745,28.250219768948025,1.8661458414970656e-05,2.971992230245464e-05,3.4308895313491426e-05,2.4808355226047782e-05,0.0,114.55402296323042,386.8530382949572,469.2625746918985,,21.060822423350608,18.98784830641285,3.77231093118748,False,True,False,True,False,False,False,3.420000076,2.400000095,6.699999809,4.380000114
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,May-09,7.130000114,2009-05-01,18.61658145763256,17.909005059136284,21.77599023889612,26.71612082587348,6.538804983493819e-06,7.565768808288138e-06,1.3468717245106947e-05,2.2783780743204125e-05,7.824814392970159,8.233499093697622,65.62853723076674,466.96310953108167,-19.218907943467453,-12.245543766504312,1.7020748747920198,4.068031451982697,False,True,False,True,False,False,False,4.940000057,3.420000076,2.400000095,6.699999809
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Aug-09,8.199999809,2009-08-01,32.185516357421875,28.481980005900063,23.26661350108959,27.367709830955224,3.826082387671771e-05,2.705745390374903e-05,1.7406776990995882e-05,2.4156575549299037e-05,23.005521728442268,177.45887197897986,185.69237107267745,492.3737101875819,,-11.954299088637743,-15.584419848594214,0.1377702198549943,False,True,False,True,False,False,False,7.130000114,4.940000057,3.420000076,2.400000095
15.0083_77.4167,150030000000000.0,Vajrakarur,Andhra pradesh,Anantapur,15.0083,77.4167,16.3,Nov-09,0.200000003,2009-11-01,36.82142370718497,35.32366025006329,31.85887838293005,26.808963351779514,4.161104947410489e-05,3.85227764059824e-05,3.267078729415381e-05,2.303702388383465e-05,57.49908819565406,340.03449473014246,517.4933667091223,583.121903939889,,23.424825125543368,4.89822929934996,-1.1422677921027742,False,True,False,True,False,False,False,8.199999809,7.130000114,4.940000057,3.420000076
